N,P,K,temperature,humidity,ph,rainfall,label,land_type
40,49,47,42.93368602,91.1756748,6.501521192,246.3613268,papaya,Hilly
86,6,53,25.92030221,83.47202566,6.921847888,42.10681516,watermelon,Hilly
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram,plain
69,67,52,27.71948962,94.43877142,6.827305908,82.83061083,papaya,Hilly
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana,Hilly
0,19,33,27.1326009,95.23797989,6.234458417,204.7206567,coconut,Hilly
29,140,195,23.64082979,90.95257927,5.560521058,116.7431319,apple,Hilly
22,144,196,21.91191314,91.68748063,6.499226821,117.0761277,apple,plain
35,57,25,27.0956288,42.26206161,8.340398059,71.1271039,mothbeans,plain
36,57,16,28.61409059,57.14218792,8.292875734,57.02891698,mothbeans,Hilly
27,56,20,19.25975367,20.51346956,5.542690119,94.9533526,kidneybeans,Hilly
107,22,54,27.99611732,90.84660317,6.630301421,21.61893763,muskmelon,Hilly
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,watermelon,Hilly
99,5,47,24.13078816,84.84494575,6.649086972,51.19470197,watermelon,plain
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,lentil,Hilly
114,40,17,24.32630461,80.13456404,6.363406102,69.45072055,cotton,plain
87,14,48,29.69238699,92.58862544,6.606033244,29.1102594,muskmelon,Hilly
33,121,203,22.45696744,94.76285385,5.605934087,114.8407725,apple,Hilly
111,29,31,26.05968403,52.31098539,6.136286518,161.3432535,coffee,Hilly
119,7,55,26.03867719,84.6378378,6.031424482,44.3993381,watermelon,Hilly
19,26,29,26.93141945,98.80313612,5.67154928,166.5712879,coconut,Hilly
9,141,202,21.01245395,81.17931863,6.119495295,66.38448261,grapes,plain
12,29,13,22.45616931,91.52781832,7.57125447,118.0069295,orange,Hilly
20,20,10,11.86631922,93.68394562,6.976997772,106.060149,orange,plain
84,40,42,26.2830571,73.35763537,6.704273839,186.6898282,jute,plain
29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,apple,Hilly
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea,plain
20,30,27,27.81005614,51.59445462,4.74910393,95.89898581,mango,Hilly
17,64,16,30.97758716,32.24914235,7.161797643,180.716828,pigeonpeas,Hilly
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,coffee,plain
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,mothbeans,plain
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,chickpea,plain
27,120,200,21.45278675,90.74531921,6.110218826,116.7036582,apple,Hilly
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,banana,plain
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,mango,plain
1,15,9,29.98364695,94.55239717,7.53350946,115.3560318,orange,plain
12,61,19,19.33162606,24.13995025,5.655726817,68.51253427,kidneybeans,Hilly
